partido,candidato,frase,veredicto,justificacion,fuentes_consultadas
Partido Cívico Obras,Ricardo Belmont,Rehabilitar un 50% de puestos y centros de salud y 50 nuevos centros de salud en áreas rurales y vulnerables en cinco años.,Inviable,"Rehabilitar el 50% del primer nivel implica intervenir aprox. 4,000 establecimientos. Esto requiere la ejecución de 800 obras anuales. La capacidad operativa del PRONIS y gobiernos regionales para aprobar expedientes y ejecutar obras en zonas dispersas es limitante para alcanzar este volumen de intervenciones en un solo periodo.","RENIPRESS (Registro Nacional de IPRESS): Cantidad de establecimientos del primer nivel (aprox. 8,700). Consulta Amigable MEF: Nivel de ejecución histórica de proyectos de inversión en el primer nivel de atención."
Partido de los Trabajadores y Emprendedores,Napoleón Becerra,Programa nacional de nutrición escolar.,Factible,La creación y gestión de programas sociales es competencia exclusiva del Ejecutivo (MIDIS). Existen antecedentes operativos (Qali Warma). La implementación es viable administrativa y presupuestalmente mediante Decreto Supremo y asignación en la Ley de Presupuesto.,"Ley N° 29792 (Ley de Creación, Organización y Funciones del Ministerio de Desarrollo e Inclusión Social), que faculta al MIDIS a formular, planificar, dirigir, ejecutar, supervisar y evaluar las políticas nacionales y sectoriales en materia de desarrollo e inclusión social."
Partido de los Trabajadores y Emprendedores,Napoleón Becerra,Reformar universidades e institutos públicos. [Meta]: Subir 20 posiciones en Latinoamérica [Ranking de calidad educativa],No está en sus manos,"La modificación del régimen universitario requiere cambios en la Ley N° 30220, competencia del Congreso. Asimismo, el posicionamiento en rankings internacionales depende de indicadores de producción científica acumulada que maduran en el largo plazo y de la autonomía de cada universidad, no exclusivamente de decretos ejecutivos.","Constitución Política del Perú (Artículo 102) sobre las atribuciones del Congreso, y la Ley N° 30220 (Ley Universitaria) que establece el marco jurídico actual que el Ejecutivo debe respetar."
Partido de los Trabajadores y Emprendedores,Napoleón Becerra,Implementar red nacional de atención médica preventiva. [Meta]: Cobertura de atención primaria: 100% en zonas rurales.,Inviable,La cobertura del 100% implica dotar de personal e infraestructura a la totalidad de zonas rurales. El diagnóstico del MINSA indica un 97% de infraestructura inadecuada y un déficit crítico de médicos en zonas alejadas. Cubrir la brecha total en cinco años enfrenta restricciones de oferta de recursos humanos y tiempos de inversión pública.,"Ministerio de Salud (MINSA) - Diagnóstico de Brechas de Infraestructura y Equipamiento, que cifra la brecha en miles de millones de soles, y el Registro Nacional del Personal de la Salud (INFORHUS), que evidencia la escasez crítica de profesionales para zonas rurales."
Partido del Buen Gobierno,Jorge Nieto Montesinos,Historia Clínica Electrónica Única interoperable. [...] Implementación del tarifario único nacional para Intercambio Prestacional.,Factible,La propuesta es viable bajo la Ley N° 30024 y decretos legislativos de intercambio prestacional. La tecnología y estándares existen. Su ejecución depende de la gestión del MINSA para la implementación del software y la aprobación del tarifario único con el MEF.,"Decreto Legislativo N° 1302 (Optimiza el intercambio prestacional en salud) y Ley N° 30024, que otorgan el marco jurídico habilitante inmediato."
Partido del Buen Gobierno,Jorge Nieto Montesinos,Reducción de la anemia infantil a <10%.,Engañosa,"Reducir la anemia del 43% a menos del 10% requiere una disminución de 33 puntos porcentuales (6.6 puntos por año). Este ritmo de reducción no se ha registrado previamente en el país. La meta depende del cierre de brechas de agua y saneamiento, cuyos plazos de ejecución suelen exceder un periodo de gobierno.","INEI - Encuesta Demográfica y de Salud Familiar (ENDES 2023), que muestra el estancamiento del indicador en la última década (43.6% en 2016 vs 43.1% en 2023), evidenciando la imposibilidad técnica de un descenso tan abrupto."
Partido del Buen Gobierno,Jorge Nieto Montesinos,Cobertura territorial del 100% con EESS de primer nivel funcionando >12h con médico,Inviable,"La norma técnica N° 021-MINSA establece que los puestos de salud I-1 no llevan médico. Dotar de médico al 100% implica recategorizar miles de postas y contratar personal que hoy es escaso en el mercado (déficit de médicos). Además, ampliar horarios a 12 horas en todo el territorio conlleva un incremento de la planilla que debe ajustarse a las reglas fiscales.",Norma Técnica de Salud N° 021-MINSA/DGSP-V.03: Categorías de Establecimientos del Sector Salud (Define que I-1 no lleva médico). Informe de Brechas de Recursos Humanos en Salud (MINSA 2024): Déficit de médicos a nivel nacional. Diagnóstico de Brechas de Infraestructura (MINSA 2024): 97.13% de inadecuación en el primer nivel.
Partido Político Democrático Federal,Armando Massé,Contar con atención del parto institucional en el 100% en establecimientos de salud.,Factible,"La meta plantea el cierre de la brecha restante del 5.4% (Línea base ENDES 2023: 94.6%). La medida es ejecutable mediante gestión sanitaria en el primer nivel de atención, enfocándose en zonas rurales dispersas. Se alinea con el Programa Presupuestal 0002 y la normativa de adecuación cultural (parto vertical). Su cumplimiento depende de la asignación de recursos para brigadas móviles y Casas de Espera Materna, competencia del MINSA y gobiernos regionales.",INEI - Encuesta Demográfica y de Salud Familiar (ENDES) 2023: Indicador de parto institucional (94.6%). Programa Presupuestal 0002: Salud Materno Neonatal (Ministerio de Economía y Finanzas).
Partido Político Democrático Federal,Armando Massé,Reducir la criminalidad en 60% y la percepción de corrupción en 70% para 2031,Engañosa,"La propuesta establece metas cuantitativas específicas (60% y 70%) para reducir la inseguridad y la percepción de corrupción. No se detalla el modelo econométrico que sustente dicha proyección de reducción en cinco años. La medición de la ""percepción"" depende de variables externas subjetivas. Estadísticamente, reducciones de esta magnitud en un quinquenio no registran precedentes bajo condiciones ordinarias, dado que las políticas de seguridad suelen tener periodos de maduración prolongados.",INEI - Estadísticas de Seguridad Ciudadana: Series históricas de victimización y percepción de inseguridad (que muestran la rigidez de estos indicadores). Plan Nacional de Seguridad Ciudadana 2019-2023: Metas realistas vs. metas políticas.
Partido Político Democrático Federal,Armando Massé,Tener doce universidades públicas de excelencia (una por región federal).,Inviable,"La creación de universidades públicas está regulada por la Ley N° 30220, que exige condiciones básicas de calidad y garantía de sostenibilidad financiera. El MEF establece restricciones fiscales para nuevas unidades ejecutoras. La propuesta debe alinearse con los estudios de demanda educativa y disponibilidad presupuestal multianual exigidos por el Sistema Nacional de Inversión Pública (Invierte.pe) y el licenciamiento de SUNEDU.","Ley N° 30220, Ley Universitaria: Requisitos de creación y licenciamiento (SUNEDU). Decreto Legislativo N° 1252: Sistema Nacional de Programación Multianual y Gestión de Inversiones (Invierte.pe)."
Partido Demócrata Unido Perú,Charlie Carrasco,"Se añadirá a la currícula educativa los cursos de historia del Perú, historia universal, filosofía, psicología, economía política, educación financiera, educación cívica...",Factible,"El MINEDU tiene la potestad de modificar el Currículo Nacional. La reintroducción de asignaturas específicas es una decisión de política pedagógica respaldada por leyes recientes (como la Ley N° 31745) y no requiere inversiones en infraestructura, haciéndola viable administrativamente.",Ley N.º 28044 (Ley General de Educación): Artículo 33 (Currículo Nacional). Ley N.º 31745: Ley que declara de interés nacional la introducción de contenidos de historia y educación cívica.
Partido Demócrata Unido Perú,Charlie Carrasco,El ingreso a las universidades públicas será libres y gratuitas.,Engañosa,"La gratuidad ya está garantizada por ley. El ingreso libre (sin examen) está limitado por la capacidad física (aulas, laboratorios) y docente de las universidades. Implementarlo sin una expansión previa de infraestructura —que toma años— afectaría las Condiciones Básicas de Calidad exigidas por la SUNEDU y la Ley Universitaria.",Ley Universitaria N.º 30220: Condiciones Básicas de Calidad. SUNEDU: Informes sobre la capacidad de oferta (vacantes) vs. demanda de postulantes en el sistema universitario público.
Partido Demócrata Unido Perú,Charlie Carrasco,"Se descentralizará la salud, cada provincia tendrá un hospital de nivel 1, 2 y 3",Inviable,"Según la normativa de salud, el Nivel 1 corresponde a postas, no hospitales. Los hospitales Nivel 3 (Alta Complejidad) requieren una gran población asignada para ser sostenibles. Construir un hospital de alta complejidad en cada una de las 196 provincias no se ajusta a los criterios de demanda de la red de salud ni a la disponibilidad de médicos subespecialistas.",Norma Técnica de Salud N° 042-MINSA/DGSP-V.01: Categorías de Establecimientos del Sector Salud. Decreto Legislativo N.º 1157: Modernización de la Gestión de la Inversión Pública en Salud (Criterios de red y demanda).
Partido Demócrata Verde,Alex Gonzales,Meta 2030: 500 CSMC [Centros de Salud Mental Comunitaria] (al menos uno por provincia).,Factible,"La meta implica implementar aprox. 230 nuevos centros. El modelo comunitario se basa en adecuación de locales y contratación de personal (gasto corriente), evitando la construcción de grandes hospitales. Es viable presupuestalmente y se alinea con la Ley de Salud Mental vigente.","Ley N° 30947 (Ley de Salud Mental) que prioriza el modelo comunitario, y el Presupuesto Institucional de Apertura (PIA) del MINSA que ya contempla el Programa Presupuestal 0131 (Control y Prevención en Salud Mental)."
Partido Demócrata Verde,Alex Gonzales,Reducción de anemia infantil (6-36 meses)... Meta 2030: 25%.,Engañosa,"La meta plantea reducir la anemia en 18 puntos porcentuales. Aunque es menos agresiva que otras propuestas, sigue implicando un ritmo de reducción de casi 4 puntos anuales, superior al promedio histórico. Su cumplimiento depende de la articulación con proyectos de saneamiento.","INEI - Encuesta Demográfica y de Salud Familiar (ENDES 2023), que muestra el estancamiento de la anemia en 43.1% y la resistencia del indicador a las intervenciones tradicionales de corto plazo."
Partido Demócrata Verde,Alex Gonzales,Meta 2030: 40% de escuelas públicas renovadas o construidas bajo estándares modernos.,Inviable,"Intervenir el 40% de escuelas implica obras en 22,000 locales (4,000 anuales). La capacidad de ejecución histórica es menor. El costo estimado para cerrar esta brecha supera el presupuesto de inversión regular del sector educación. La meta física excede los plazos del ciclo de inversiones Invierte.pe.","Plan Nacional de Infraestructura Sostenible para la Competitividad (PNISC) 2022-2025 y el Censo Educativo (MINEDU), que evidencian la magnitud de la brecha y la limitada capacidad de ejecución anual del PRONIED (históricamente subejecutando o ejecutando montos marginales frente a la brecha)."
Partido Morado,Mesías Guevara,"Sistema Nacional de Salud Digital con Historia Clínica Única... DNI como identificador único de historia clínica interoperable entre TODAS las redes públicas (MINSA, EsSalud, sanidades) y privadas... Meta: 100% de establecimientos públicos con HC electrónica interoperable (2029).",Factible,La propuesta es viable bajo el marco de la Ley N° 30024. El plan detalla aspectos técnicos (estándar HL7 FHIR) y presupuestales. La implementación depende de la inversión en TIC y gestión del MINSA. La meta al 2029 es exigente pero posible de gestionar administrativamente si se priorizan los recursos.,"Ley N° 30024 (Ley que crea el Registro Nacional de Historias Clínicas Electrónicas) y su Reglamento, que otorgan el mandato legal y las herramientas técnicas para implementar la interoperabilidad."
Partido Morado,Mesías Guevara,"Erradicar la desnutrición y la anemia infantil, asegurando que ningún niño vea limitado su desarrollo por falta de nutrientes esenciales.",Engañosa,"""Erradicar"" (0%) la anemia y desnutrición en cinco años es técnicamente complejo debido a la prevalencia actual (43% en anemia) y sus causas estructurales (agua/saneamiento). La evidencia muestra que las reducciones son graduales. Plantear la eliminación total en un quinquenio no se ajusta a las proyecciones epidemiológicas estándar.","INEI - Encuesta Demográfica y de Salud Familiar (ENDES 2023), que demuestra la persistencia y estancamiento de la anemia por encima del 40% en la última década, evidenciando la imposibilidad estadística de llevarla a cero en el corto plazo."
Partido Morado,Mesías Guevara,"Derogaremos las leyes de contrarreforma y restauraremos las funciones originales de SUNEDU según Ley 30220: Restitución del licenciamiento obligatorio y renovable... Reconstitución del Consejo Directivo mediante concurso público abierto, eliminando representantes de universidades...",No está en sus manos,"La derogación de leyes vigentes es competencia del Congreso de la República. El Ejecutivo tiene iniciativa legislativa, pero no puede derogar normas ni modificar la composición de organismos autónomos unilateralmente sin aprobación parlamentaria, respetando la separación de poderes.","Constitución Política del Perú (Artículo 102, inciso 1), que establece como atribución del Congreso dar leyes y resoluciones legislativas, así como interpretar, modificar o derogar las existentes."
Partido País para Todos,Carlos Álvarez,Lograr que ≥80% de establecimientos del primer nivel alcancen abastecimiento ≥85% de medicamentos esenciales [al 2031].,Factible,"La propuesta establece metas de gestión logística dentro de las competencias del MINSA y CENARES. Alcanzar un 85% de abastecimiento es un estándar operativo posible de lograr mediante mejoras en la cadena de suministro, compras corporativas y distribución, sin necesidad de cambios legislativos.","Decreto Legislativo N° 1444 (Ley de Contrataciones del Estado) y el Reglamento de Organización y Funciones del MINSA, que facultan al sector salud para gestionar la compra y distribución de recursos estratégicos."
Partido País para Todos,Carlos Álvarez,"Salud universal de verdad... donde el ciudadano reciba atención oportuna sin importar si está en MINSA, EsSalud o un gobierno regional.",Inviable,"La Constitución (Art. 12) establece la intangibilidad de los fondos de la seguridad social (privados). La atención universal irrestricta requiere un mecanismo de intercambio prestacional con reembolso automático y total. Sin un financiamiento adicional del MEF para cubrir la diferencia de costos entre SIS y EsSalud, la propuesta enfrenta barreras constitucionales y financieras.",Constitución Política del Perú: Artículo 12 (Intangibilidad de los fondos de la seguridad social). Decreto Legislativo N.º 1466: Marco actual del intercambio prestacional (que demuestra la complejidad de los pagos cruzados que el plan subestima).
Partido País para Todos,Carlos Álvarez,Garantizar que ningún niño vuelva a crecer con anemia o desnutrición...,Engañosa,"La promesa de ""ningún niño"" (0 casos) implica resolver la totalidad de determinantes sociales como el acceso a agua y la pobreza. Actualmente la anemia afecta al 43% de menores de 3 años. Las metas técnicas internacionales plantean reducciones progresivas, ya que la erradicación total en el corto plazo enfrenta limitaciones estructurales.","INEI - ENDES 2024: Estadísticas de prevalencia de Anemia (estancamiento en 43.1%). OMS: Metas Globales de Nutrición 2025 (plantean reducciones relativas, no absolutas a cero en corto plazo)."
Partido Patriótico del Perú,Herbert Caller,...establece como estrategia la 'Formación Integral en Ciudadanía Digital desde el Colegio' (...) Eje N° 1. Alfabetización Digital Crítica y Funcional (...) Eje N° 2. Seguridad Digital y Autocuidado...,Factible,"La propuesta es viable y se alinea con la Competencia 28 del Currículo Nacional y la Política de Transformación Digital. Su implementación depende de la capacitación docente y actualización de contenidos, acciones realizables dentro de la gestión del MINEDU.",Decreto Supremo N° 085-2023-PCM: Política Nacional de Transformación Digital al 2030. Currículo Nacional de la Educación Básica (CNEB): Competencia 28.
Partido Patriótico del Perú,Herbert Caller,"En el caso de la implementación del idioma quechua, inglés y un segundo idioma extranjero en los colegios donde se brinda educación básica regular, debe cubrir al final del periodo presidencial, el año 2031, al 100% de las instituciones educativas.",Engañosa,"La cobertura al 100% enfrenta el déficit de docentes de idiomas, especialmente en zonas rurales. Además, la imposición del quechua en todo el territorio debe considerar la realidad sociolingüística (zonas aymaras o amazónicas) y la política de Educación Intercultural Bilingüe. La contratación masiva de docentes trilingües es una restricción operativa significativa.",Política Nacional de Educación Intercultural Bilingüe (EIB): Respeto a la lengua materna predominante en la zona. Ministerio de Educación (Escale): Estadística de déficit de docentes de especialidad (idiomas) en zonas rurales.
Partido Patriótico del Perú,Herbert Caller,Pago único al final de la obra en contrataciones...,Inviable,"La Ley de Contrataciones establece pagos periódicos (valorizaciones) para asegurar la liquidez del contratista durante la obra. Eliminar los pagos parciales restringiría la participación de empresas que no pueden financiar el 100% de la obra con capital propio, lo que podría reducir la oferta de postores y afectar la ejecución de proyectos.","Plan Nacional de Infraestructura Sostenible para la Competitividad (PNISC) 2022-2025 y el Registro Nacional del Personal de la Salud (INFORHUS), que evidencian la brecha crítica de recursos humanos y los tiempos reales de ejecución hospitalaria."
Perú Acción,Francisco Diez Canseco,Eliminación de las labores administrativas y de papeleo de profesores quienes únicamente se dedicarán a la enseñanza integral de los alumnos.,Factible,El MINEDU tiene competencia para normar la gestión escolar y simplificar procesos burocráticos. La digitalización y contratación de apoyo administrativo son medidas de gestión viables que permiten focalizar la labor docente en la enseñanza.,"Ley N° 28044 (Ley General de Educación) y el Reglamento de la Ley de Reforma Magisterial, que facultan al MINEDU a normar la jornada laboral y las funciones del personal docente."
Perú Acción,Francisco Diez Canseco,Implementación de inicialmente 5000 postas y policlínicos de atención en nivel primario con salas de quirófano para operaciones menores y salas de emergencia.,Engañosa,"Implementar quirófanos en 5,000 postas implica recategorizarlas y dotarlas de cirujanos y anestesiólogos. El Registro Nacional del Personal de la Salud reporta un déficit de especialistas. Sin el recurso humano asegurado, la infraestructura quirúrgica no puede operar según las normas de habilitación.","Registro Nacional del Personal de la Salud (INFORHUS) - MINSA, que certifica la escasez crítica de médicos especialistas (cirujanos, anestesiólogos) necesaria para operar tal cantidad de quirófanos."
Perú Acción,Francisco Diez Canseco,Construcción implementación de 10 hospitales de alta complejidad tipo 1 por año en el Perú mediante el sistema de asociación pública privada APP y/o obras por impuestos...,Inviable,Construir 50 hospitales de alta complejidad en cinco años supera los tiempos de maduración de proyectos en Invierte.pe (8-10 años promedio) y la capacidad de adjudicación de ProInversión. La inversión requerida y la magnitud de obras simultáneas exceden los techos presupuestales y logísticos del sector salud.,"Cartera de Proyectos de ProInversión (Sector Salud) y los plazos normativos del Decreto Legislativo N° 1362 (Ley de APPs), que evidencian que los tiempos de estructuración y ejecución no permiten tal volumen de obras de alta complejidad en 5 años."
Perú Libre,Vladimir Cerrón,"Implementar el programa Médicos de la Familia a nivel nacional, priorizando zonas rurales, periurbanas y amazónicas al 2031",Factible,La propuesta es viable administrativamente. El Modelo de Atención Integral (MAIS) contempla equipos de salud familiar. El MINSA puede reorientar recursos y contratar personal para fortalecer el primer nivel de atención bajo esta estrategia.,"Decreto Legislativo N° 1161 (Ley de Organización y Funciones del Ministerio de Salud), que establece la rectoría del MINSA para formular, planificar, dirigir, ejecutar, supervisar y evaluar la política nacional de salud."
Perú Libre,Vladimir Cerrón,Analfabetismo reducido a 0% al 2031.,Engañosa,"La tasa actual es de 5.5%. La reducción del ""núcleo duro"" del analfabetismo (población mayor, dispersa) es un proceso lento. Una tasa de 0.0% absoluta es estadísticamente improbable en el corto plazo según las tendencias demográficas registradas por la ENAHO.","INEI - Encuesta Nacional de Hogares (ENAHO), que reporta la evolución histórica de la tasa de analfabetismo y su resistencia a la baja en poblaciones vulnerables (núcleo duro)."
Perú Libre,Vladimir Cerrón,"Construcción y puesta en funcionamiento de 100 Hospitales Docentes Especializados y 1,000 centros de salud públicos a nivel nacional [...] al 2031.",Inviable,La construcción de 100 hospitales especializados implica un volumen de inversión y ejecución que supera los plazos de Invierte.pe y la capacidad histórica del PRONIS. La inversión estimada para esta infraestructura sobrepasa el presupuesto multianual del sector.,"Plan Nacional de Infraestructura Sostenible para la Competitividad (PNISC) 2022-2025 y normas de Invierte.pe, que establecen los plazos rígidos de maduración de proyectos de inversión pública de alta complejidad."
Perú Moderno,Carlos Jaico,"Crear un Índice de Desempeño hospitalario, donde se evaluará su eficiencia, eficacia y el nivel de productividad... Se publicará un ranking nacional todos los resultados por periodos trimestrales con el fin de garantizar la absoluta transparencia.",Factible,La propuesta es viable. MINSA y SUSALUD tienen facultades para supervisar y evaluar IPRESS. La publicación de rankings es una medida de transparencia y gestión que no requiere inversión mayor ni cambios legales.,"Decreto Legislativo N° 1158 (Dispone medidas destinadas al fortalecimiento y cambio de denominación de la Superintendencia Nacional de Aseguramiento en Salud) y el Reglamento de Organización y Funciones del MINSA, que facultan la supervisión del desempeño prestacional."
Perú Moderno,Carlos Jaico,Disminuir la anemia infantil al 15% y la desnutrición crónica al 8%.,Engañosa,La meta de anemia (reducir a 15% desde 43%) implica una disminución acelerada que no se ha observado en la última década. Requiere una efectividad muy alta de las intervenciones y avances simultáneos en saneamiento básico.,"INEI - Encuesta Demográfica y de Salud Familiar (ENDES 2023), que demuestra el estancamiento de la anemia por encima del 40% en los últimos cinco años, haciendo estadísticamente improbable alcanzar el 15% en 2031"
Perú Moderno,Carlos Jaico,"Modernizar la salud, construir más hospitales en todas las regiones, provincias y distritos del país, así como centros de salud... en todos los distritos, anexos y centros poblados.",Inviable,"Existen más de 94,000 centros poblados. La Norma Técnica de Salud N° 021 regula la construcción de establecimientos según demanda poblacional. Construir infraestructura en ""todos"" los centros poblados es inviable por costos y por no cumplir con los criterios técnicos de asignación de recursos.","Norma Técnica de Salud N° 021-MINSA/DGSP-V.03 (Categorías de Establecimientos del Sector Salud) que regula dónde se puede construir según demanda, y el Directorio Nacional de Centros Poblados (INEI) que evidencia la magnitud inabarcable de la promesa."
Perú Primero,Mario Vizcarra,100% de docentes evaluados en base a su desempeño en el marco de la Ley de Reforma Magisterial.,Factible,La Ley de Reforma Magisterial establece la evaluación de desempeño obligatoria. El MINEDU tiene la competencia y los instrumentos técnicos para ejecutarla. Es una medida de gestión política y presupuestal viable.,"Ley N° 29944 (Ley de Reforma Magisterial), artículos 23 y siguientes, que norman la evaluación del desempeño docente como condición para la permanencia y ascenso en la carrera pública."
Perú Primero,Mario Vizcarra,Reducción a menos del 20% de anemia infantil en niños de 6 a 35 meses.,Engañosa,"Reducir la anemia a menos del 20% implica bajar más de 23 puntos porcentuales. La tendencia histórica muestra reducciones anuales menores. La meta es ambiciosa frente a la complejidad estructural del problema (agua, pobreza).","INEI - Encuesta Demográfica y de Salud Familiar (ENDES 2023), que muestra el estancamiento del indicador por encima del 40% en los últimos cinco años, validando que una reducción a la mitad en un solo periodo no tiene precedente histórico."
Perú Primero,Mario Vizcarra,99% de establecimientos de salud del primer nivel de atención con capacidad instalada adecuada.,Inviable,"El 97% de establecimientos tiene capacidad inadecuada. Revertir esto al 99% implica intervenir más de 8,000 centros en cinco años. Los tiempos de inversión y la capacidad logística del Estado limitan la posibilidad de cerrar la casi totalidad de la brecha de infraestructura en un solo periodo.","Plan Nacional de Infraestructura Sostenible para la Competitividad (PNISC) 2022-2025 y el Diagnóstico de Brechas de Infraestructura o Acceso a Servicios del Sector Salud (MINSA), que cifran la brecha en miles de millones de soles y evidencian la imposibilidad logística de cerrarla en corto plazo."
Podemos Perú,José Luna Gálvez,Plan nacional de recuperación de aprendizajes con acompañamiento docente focalizado.,Factible,La propuesta es viable. El MINEDU tiene rectoría para implementar planes pedagógicos y acompañamiento docente. Existen programas presupuestales activos que pueden financiar esta estrategia.,"Ley N° 28044 (Ley General de Educación) y la Ley de Presupuesto del Sector Público, que facultan al MINEDU a implementar programas pedagógicos y asignar recursos para el fortalecimiento de capacidades docentes."
Podemos Perú,José Luna Gálvez,Reducción de la (1) Prevalencia de anemia [...] Meta 2031: (1) 0%.,Engañosa,"La meta de 0% es estadísticamente improbable dada la prevalencia actual (43%). La OMS considera aceptables tasas reducidas, pero la eliminación total en cinco años no se condice con la evidencia sobre la persistencia de casos residuales y factores estructurales.","INEI - Encuesta Demográfica y de Salud Familiar (ENDES 2023), que demuestra la persistencia de la anemia por encima del 40% en la última década, y los estándares de la OMS, que consideran ""problema de salud pública"" tasas superiores al 5%, reconociendo la dificultad de llegar a 0 absoluto."
Podemos Perú,José Luna Gálvez,Incremento del porcentaje de establecimientos del primer nivel con capacidad resolutiva [...] Meta 2026-2031: 100% al 2031.,Inviable,Cerrar la brecha de capacidad inadecuada (actualmente 97%) en el 100% de establecimientos requiere un volumen de obras que supera la capacidad de ejecución histórica del sistema de inversiones en un quinquenio.,"Plan Nacional de Infraestructura Sostenible para la Competitividad (PNISC) 2022-2025 y el Diagnóstico de Brechas de Infraestructura del Sector Salud (MINSA), que cuantifican la brecha en miles de millones de soles y evidencian la imposibilidad material de cerrarla al 100% en corto plazo."
Primero la Gente,Marisol Pérez Tello,"Plataforma Nacional de Historia Clínica electrónica única y obligatoria. Implementación de un sistema digital interoperable que integre, en un solo registro longitudinal, la información clínica de todas las personas usuarias... independientemente del subsistema... Meta al 2031: 70% de atenciones con continuidad registrada.",Factible,"La propuesta es viable bajo la normativa de Gobierno Digital y Salud. La meta del 70% es ejecutable progresivamente mediante inversión en conectividad y estandarización de sistemas, competencia del Ejecutivo.","Ley N° 30024 y su Reglamento, que establecen la obligatoriedad de la historia clínica electrónica, y el Plan de Gobierno Digital del Estado Peruano, que valida la viabilidad técnica del proyecto."
Primero la Gente,Marisol Pérez Tello,Incrementar en al menos 15 puntos porcentuales el porcentaje de estudiantes de 4.º de primaria de escuelas públicas en nivel satisfactorio en lectura a nivel nacional... al año 2031.,Engañosa,Un incremento de 15 puntos porcentuales en cinco años supera el promedio de mejora registrado históricamente en la ECE (1-2 puntos anuales). La meta proyecta un crecimiento acelerado frente a la inercia del sistema educativo.,"Resultados Históricos de la Evaluación Censal de Estudiantes (ECE) - UMC/MINEDU, que demuestran que los crecimientos interanuales superiores al 2% son atípicos y no sostenibles a largo plazo sin reformas estructurales previas de larga maduración."
Primero la Gente,Marisol Pérez Tello,"Elevar al menos al 90 % la proporción de locales educativos rurales y amazónicos con servicios básicos completos (agua segura, saneamiento, electricidad) al 2031... (Línea de base referencial: 33%).",Inviable,La brecha de servicios básicos en zonas rurales es amplia (línea base 33%). Cerrar la brecha al 90% implica ejecutar miles de proyectos de saneamiento y electrificación. Los tiempos de inversión en zonas dispersas dificultan alcanzar tal cobertura en cinco años.,"Plan Nacional de Infraestructura Sostenible para la Competitividad (PNISC) 2022-2025 y el Censo Educativo (MINEDU), que evidencian la magnitud de la brecha de servicios básicos (más de S/ 60 mil millones solo en saneamiento rural) y la imposibilidad técnica de cerrarla tan abruptamente."
Prin,Walter Chirinos,Implementaremos la tele-medicina en regiones con difícil acceso geográfico.,Factible,"La propuesta es viable según la Ley Marco de Telesalud. Depende de la inversión en equipos y conectividad (IOARR), gestión que corresponde al MINSA y gobiernos regionales.","Ley N° 30421 y el Decreto Legislativo N° 1490 (Fortalece la Telesalud), que otorgan el marco jurídico y operativo inmediato para su ejecución."
Prin,Walter Chirinos,Reduciremos de manera sustancial la desnutrición crónica de niñas y niños entre 1 año a 12 años de todas las Regiones...,Engañosa,La medición estándar de Desnutrición Crónica Infantil (OMS/INEI) se aplica a menores de 5 años. Plantear metas para el grupo de hasta 12 años no se ajusta a los indicadores técnicos internacionales ni a la ventana de oportunidad biológica para revertir la condición.,"Patrones de Crecimiento Infantil de la OMS y la metodología de la Encuesta Demográfica y de Salud Familiar (ENDES - INEI), que estandarizan la medición de DCI exclusivamente en menores de 5 años."
Prin,Walter Chirinos,Incrementaremos progresivamente el presupuesto en salud hasta alcanzar al menos el 6% del PBI..,Inviable,"El presupuesto actual es aprox. 3.5% del PBI. Llegar al 6% requiere duplicar la asignación en términos nominales. Sin una reforma tributaria que incremente la recaudación significativamente, esta meta enfrenta las restricciones fiscales del Marco Macroeconómico Multianual.","Marco Macroeconómico Multianual 2025-2028 (MEF), que establece los techos fiscales y la rigidez del gasto público."
Progresemos,Paul Jaimes,"Implementación obligatoria de la Historia Clínica Electrónica (HCE) interoperable entre el MINSA, EsSalud, Sanidad de las fuerzas armadas y policiales y el sector privado.",Factible,Viable bajo la Ley N° 30024 y D.L. N° 1412. La obligatoriedad y los estándares ya están normados. Su implementación es una labor de gestión administrativa y tecnológica en curso.,"Ley N° 30024 y su Reglamento, que otorgan el mandato legal y las herramientas técnicas para la implementación de la interoperabilidad en salud."
Progresemos,Paul Jaimes,Asegurar que ninguna familia peruana padezca hambre.,Engañosa,"La inseguridad alimentaria afecta a un porcentaje significativo de la población (FAO). La erradicación total (""ninguna familia"") depende de variables macroeconómicas y climáticas complejas, siendo una meta absoluta difícil de verificar y cumplir en el corto plazo.","Informe ""El estado de la seguridad alimentaria y la nutrición en el mundo"" (FAO 2023), que documenta la magnitud de la inseguridad alimentaria en Perú (16.6 millones de personas), haciendo inverosímil su erradicación total a corto plazo."
Progresemos,Paul Jaimes,"Optimizar la distribución de recursos para que, hacia el año 2029, ninguna posta médica o centro de salud carezca de suministros básicos.",Inviable,"Garantizar 0% de desabastecimiento en tres años enfrenta desafíos logísticos en la ""última milla"" y limitaciones de infraestructura de almacenamiento en zonas remotas, procesos que toman tiempo en regularizarse completamente.","Diagnóstico de Brechas de Infraestructura y Equipamiento del Sector Salud (MINSA), que evidencia la precariedad de la red de almacenes, y reportes de CENARES sobre la complejidad de la distribución nacional."
